<html><head><title>AERONET Data Download (Version 3 Direct Sun and Inversion Algorithms)</title><h2>AERONET Data Download (Version 3 Direct Sun and Inversion Algorithms)</h2>
</head>
<body bgcolor= "#FFFFFF" 
>AERONET Version 3<br>
Sao_Paulo<br>
Version 3: Almucantar Level 2.0 Inversion
The following data are automatically cloud cleared and quality assured with pre-field and post-field calibration applied.
<br>Daily Averages,Contact: PI=Paulo_Artaxo; PI Email=artaxo@if.usp.br <br>
AERONET_AERONET_Site,Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,Day_of_Year(fraction),Single_Scattering_Albedo[440nm],Single_Scattering_Albedo[675nm],Single_Scattering_Albedo[870nm],Single_Scattering_Albedo[1020nm],N[Single_Scattering_Albedo[440nm]],N[Single_Scattering_Albedo[675nm]],N[Single_Scattering_Albedo[870nm]],N[Single_Scattering_Albedo[1020nm]],Latitude(Degrees),Longitude(Degrees),Elevation(m),Level,Retrieval_Measurement_Scan_Type<br>
Sao_Paulo,11:04:2002,12:00:00,101,101.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,16:04:2002,12:00:00,106,106.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,17:04:2002,12:00:00,107,107.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,18:04:2002,12:00:00,108,108.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,19:04:2002,12:00:00,109,109.000000,0.927500,0.935200,0.933000,0.930400,1,1,1,1,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,20:04:2002,12:00:00,110,110.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,23:04:2002,12:00:00,113,113.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,24:04:2002,12:00:00,114,114.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,25:04:2002,12:00:00,115,115.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,29:04:2002,12:00:00,119,119.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,10:05:2002,12:00:00,130,130.000000,0.913900,0.942300,0.943300,0.941700,1,1,1,1,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,13:05:2002,12:00:00,133,133.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,14:05:2002,12:00:00,134,134.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,15:05:2002,12:00:00,135,135.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,25:05:2002,12:00:00,145,145.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,12:06:2002,12:00:00,163,163.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,13:06:2002,12:00:00,164,164.000000,0.903300,0.901700,0.892100,0.885200,1,1,1,1,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,14:06:2002,12:00:00,165,165.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,16:06:2002,12:00:00,167,167.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,17:06:2002,12:00:00,168,168.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,19:06:2002,12:00:00,170,170.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,20:06:2002,12:00:00,171,171.000000,0.848233,0.834700,0.809633,0.803433,3,3,3,3,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,24:06:2002,12:00:00,175,175.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,26:06:2002,12:00:00,177,177.000000,0.867200,0.902700,0.887300,0.880900,1,1,1,1,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,27:06:2002,12:00:00,178,178.000000,0.872800,0.891000,0.873300,0.863850,2,2,2,2,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,28:06:2002,12:00:00,179,179.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
